name,y,x
Residence_1,35.5618086,139.5623042
Residence_2,35.571213,139.5629771
Residence_3,35.5746189,139.5673549
Residence_4,35.5710902,139.5684614
Residence_5,35.5627846,139.5537676
Residence_6,35.5710556,139.5555101
Residence_7,35.5645321,139.5541924
Residence_8,35.5732992,139.566122
Residence_9,35.5711244,139.5641433
Residence_10,35.5673419,139.5700184
Residence_11,35.563407,139.5636933
Residence_12,35.5667382,139.5672376
Residence_13,35.57007,139.5545471
Residence_14,35.5657312,139.5584167
Residence_15,35.5725097,139.5581279
Residence_16,35.5720133,139.5573549
Residence_17,35.5739774,139.5588447
Residence_18,35.5743496,139.5693354
Residence_19,35.5672698,139.5694663
Residence_20,35.5658823,139.5655421
Residence_21,35.5756201,139.5637525
Residence_22,35.5746639,139.5581113
Residence_23,35.5659829,139.5617941
Residence_24,35.5731912,139.5635019
Residence_25,35.5623575,139.5695076
Residence_26,35.5711684,139.5589063
Residence_27,35.5721345,139.5605244
Residence_28,35.5609767,139.5632861
Residence_29,35.5647157,139.5598444
Residence_30,35.5678262,139.5644016
Residence_31,35.5708367,139.5572113
Residence_32,35.5748981,139.5693263
Residence_33,35.5753529,139.5709784
Residence_34,35.5672463,139.5593585
Residence_35,35.5729002,139.5577333
Residence_36,35.5655754,139.5644256
Residence_37,35.5716409,139.5671844
Residence_38,35.5710005,139.5716736
Residence_39,35.5609245,139.5625445
Residence_40,35.5718874,139.567135
Residence_41,35.5734031,139.5546414
Residence_42,35.5680256,139.5577826
Residence_43,35.5750089,139.5542428
Residence_44,35.5697627,139.5635511
Residence_45,35.5670375,139.5638771
Residence_46,35.5711472,139.5605627
Residence_47,35.5642354,139.5572299
Residence_48,35.5714538,139.5649937
Residence_49,35.5688214,139.5600783
Residence_50,35.5718268,139.5607504
